No.,Time,Source,Destination,Protocol,Length,Info,lengths
114187,3729.728994,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1783 Ack=13400 Win=16 Len=11",11
114189,3729.782536,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=13400 Ack=1794 Win=1025 Len=0,0
114603,3786.966174,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1794 Ack=13400 Win=16 Len=11",11
114604,3787.015175,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=13400 Ack=1805 Win=1025 Len=0,0
114895,3847.027537,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=13400 Ack=1805 Win=1025 Len=11",11
114896,3847.05931,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1805 Ack=13411 Win=16 Len=11",11
114897,3847.105203,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=13411 Ack=1816 Win=1025 Len=0,0
115181,3906.979522,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1816 Ack=13411 Win=16 Len=11",11
115184,3907.024579,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=13411 Ack=1827 Win=1025 Len=0,0
115269,3930.397082,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=13411 Ack=1827 Win=1025 Len=648",648
115270,3930.421953,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1827 Ack=14059 Win=16 Len=55",55
115272,3930.470548,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=14059 Ack=1882 Win=1025 Len=0,0
120055,3990.507839,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=14059 Ack=1882 Win=1025 Len=11",11
120056,3990.535646,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1882 Ack=14070 Win=16 Len=11",11
120057,3990.585079,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=14070 Ack=1893 Win=1025 Len=0,0
120238,4026.992378,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1893 Ack=14070 Win=16 Len=11",11
120239,4027.047425,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=14070 Ack=1904 Win=1025 Len=0,0
120662,4087.081348,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=14070 Ack=1904 Win=1025 Len=11[Malformed Packet]",11
120663,4087.105923,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1904 Ack=14081 Win=16 Len=11",11
120664,4087.15911,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=14081 Ack=1915 Win=1025 Len=0,0
120874,4127.504535,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=14081 Ack=1915 Win=1025 Len=648",648
120875,4127.529891,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1915 Ack=14729 Win=16 Len=55",55
