"No.","Time","Source","Destination","Protocol","Length","Info"
"388273","5018.028068","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2553 Ack=18674 Win=16 Len=11"
"388274","5018.079475","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18674 Ack=2564 Win=1022 Len=0"
"388668","5037.552490","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2564 Ack=18674 Win=16 Len=11"
"388669","5037.599610","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18674 Ack=2575 Win=1022 Len=0"
"389345","5097.641352","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=18674 Ack=2575 Win=1022 Len=11"
"389346","5097.666980","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2575 Ack=18685 Win=16 Len=11"
"389347","5097.718389","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18685 Ack=2586 Win=1022 Len=0"
"390654","5151.778514","192.168.50.133","34.158.0.131","TCP","620","55697  >  4070 [PSH, ACK] Seq=18685 Ack=2586 Win=1022 Len=566"
"390658","5151.803797","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2586 Ack=19251 Win=16 Len=55"
"390661","5151.858348","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=19251 Ack=2641 Win=1022 Len=0"
"390718","5157.566074","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2641 Ack=19251 Win=16 Len=11"
"390719","5157.615662","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=19251 Ack=2652 Win=1022 Len=0"
"392380","5217.621583","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=19251 Ack=2652 Win=1022 Len=11"
"392383","5217.646375","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2652 Ack=19262 Win=16 Len=11"
"392387","5217.699923","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=19262 Ack=2663 Win=1022 Len=0"
"393662","5249.563607","192.168.50.133","34.158.0.131","TCP","615","55697  >  4070 [PSH, ACK] Seq=19262 Ack=2663 Win=1022 Len=561"
